objetID;dateReferentiel;route;longueur;ploD;absD;cumulD;xD;yD;zD;ploF;absF;cumulF;xF;yF;zF;cote;voie;accrochage;CodeMacroSection;MacroSectionEquipee;NomStationRef;CodeSiredoStationRef;TypeStationRef;TypeStationRef_lib;DateStationRef;IndiceNational;sectionnement_gestionnaire
Obx54ySqFt_5819;01/01/2019;A0020;5215;87PR170D;240;169347;568655,44;6539052,81;0;87PR175D;280;174562;567604,08;6534102,78;0;I;0;ACCROCHE;A0020_M7;1;AIRE DE BEAUNE;MBW87.3;2;QT, TT, VT, LC, VC;01/01/2014;0;DIRCO
Obx54ySqFt_5820;01/01/2019;A0020;12516;87PR189D;630;188227;568229,58;6521636,74;0;87PR203D;50;200743;572896,38;6511029,84;0;I;0;ACCROCHE;A0020_M12;1;PIERRE BUFFIERE;MbW87.6;2;QT, TT, VT, LC, VC;01/06/2019;0;DIRCO
Obx54ySqFt_5821;01/01/2019;A0020;40420;87PR203D;50;200743;572896,38;6511029,84;0;19PR243D;450;241163;587957,47;6478371,49;0;I;0;ACCROCHE;A0020_M13;1;LE MONCEAU;MBW87.1;2;QT, TT, VT, LC, VC;01/01/2014;0;DIRCO
Obx54ySqFt_5822;01/01/2019;A0020;24683;19PR243D;450;241163;587957,47;6478371,49;0;19PR268D;0;265846;582810,05;6456743,07;0;I;0;ACCROCHE;A0020_M14;1;DONZENAC;MBZ19.7;2;QT, TT, VT, LC, VC;01/06/2019;0;DIRCO
Obx54ySqFt_5823;01/01/2019;A0020;4004;19PR281D;300;279174;583568,25;6445498,28;0;CS19PR285D;0;283178;582434,71;6441775,85;0;I;0;ACCROCHE;A0020_M16;1;FONT TROUVE;MBZ19.8;2;QT, TT, VT, LC, VC;01/06/2019;0;DIRCO
Obx54ySqFt_5824;01/01/2019;A0021;2877;62PR0D;0;0;679366,89;7037473,03;0;62PR3D;500;2877;682226,53;7037798,05;0;I;0;ACCROCHE;A0021_M1;0;;;;;01/12/2018;0;DIRN
Obx54ySqFt_5825;01/01/2019;A0022;8383;59PR14D;55;6881;708011,47;7064667,03;0;59PR22D;440;15264;710203,59;7072485,38;0;I;0;ACCROCHE;A0022_M4;1;MOUVAUX;ML159.K;2;QT, TT, VT, LC, VC;01/10/2016;0;DIRN
Obx54ySqFt_5826;01/01/2019;A0022;2544;59PR22D;440;15264;710203,59;7072485,38;0;59PR24D;983;17808;711918,59;7074231,01;0;I;0;ACCROCHE;A0022_M5;1;NEUV_FERRAIN;ML159.L;3;QT, TT, VT, LC, VC, KC;01/01/2016;1;DIRN
Obx54ySqFt_5827;01/01/2019;A0023;16313;59PR0D;0;0;709756,4;7055828,9;0;59PR16D;417;16313;716199,46;7041529,32;0;I;0;ACCROCHE;A0023_M1;1;GENECH;ML159.M;3;QT, TT, VT, LC, VC, KC;01/02/2015;1;DIRN
Obx54ySqFt_5828;01/01/2019;A0023;14340;59PR16D;417;16313;716199,46;7041529,32;0;59PR30D;673;30653;728985,54;7035823,18;0;I;0;ACCROCHE;A0023_M2;1;BEUVRY;ML159.N;2;QT, TT, VT, LC, VC;01/01/2010;0;DIRN
Obx54ySqFt_5829;01/01/2019;A0023;6624;59PR30D;673;30653;728985,54;7035823,18;0;59PR37D;278;37277;733488,87;7031253,92;0;I;0;ACCROCHE;A0023_M3;1;PETITE-FORET;;2;QT, TT, VT, LC, VC;01/01/2017;0;DIRN
Obx54ySqFt_5830;01/01/2019;A0025;6589;59PR9D;98;8723;697734,15;7058443,13;0;59PR15D;680;15312;692600,57;7062508,59;0;I;0;ACCROCHE;A0025_M6;1;ENNETIERES;ML159.Q;2;QT, TT, VT, LC, VC;01/05/1992;1;DIRN
Obx54ySqFt_5831;01/01/2019;A0025;4719;59PR15D;680;15312;692600,57;7062508,59;0;59PR20D;394;20031;688762,54;7065235,97;0;I;0;ACCROCHE;A0025_M7;1;LA_CHAPELLE_59;ML259.C;2;QT, TT, VT, LC, VC;01/01/1997;0;DIRN
Obx54ySqFt_5832;01/01/2019;A0025;11831;59PR20D;394;20031;688762,54;7065235,97;0;59PR32D;216;31862;678456,05;7070835,25;0;I;0;ACCROCHE;A0025_M8;1;STEENWERCK;ML259.A;2;QT, TT, VT, LC, VC;01/01/1997;1;DIRN
Obx54ySqFt_5833;01/01/2019;A0025;30892;59PR32D;216;31862;678456,05;7070835,25;0;FRD;0;62754;659972,28;7094881,5;0;I;0;ACCROCHE;A0025_M9;1;QUAEDYPRE;ML159.P;3;QT, TT, VT, LC, VC, KC;01/03/2015;1;DIRN
Obx54ySqFt_5834;01/01/2019;A0027;10968;59PR0D;0;0;708621,84;7055965,58;0;FRD;0;10968;719460,41;7056343,71;0;I;0;ACCROCHE;A0027_M1;1;ANSTAING;ML159.R;3;QT, TT, VT, LC, VC, KC;01/02/2015;1;DIRN
Obx54ySqFt_5835;01/01/2019;A0028;54995;80PR0D;0;0;616025,79;7004300,95;0;76PR55D;0;54995;590186,64;6962000,35;0;I;0;ACCROCHE;A0028_M1;1;ABBEVILLE;MLS80.1;3;QT, TT, VT, LC, VC, KC;01/12/2016;0;DIRNO
Obx54ySqFt_5836;01/01/2019;A0028;20019;76PR55D;0;54995;590186,64;6962000,35;0;76PR75D;0;75014;574665,95;6951275,15;0;I;0;ACCROCHE;A0028_M3;1;MAUCOMBLE;MUM76.2;3;QT, TT, VT, LC, VC, KC;01/12/2016;0;DIRNO
Obx54ySqFt_5837;01/01/2019;A0028;22418;76PR75D;0;75014;574665,95;6951275,15;0;DD76PR97D;0;97432;565662,56;6933861,55;0;I;0;ACCROCHE;A0028_M4;1;QUINCAMPOIX;MUM76.Y;2;QT, TT, VT, LC, VC;01/06/2010;1;DIRNO
Obx54ySqFt_5838;01/01/2019;A0030;4155;57PR0D;0;0;930859,2;6914134,52;0;57PR4D;250;4155;927451,64;6916251,79;0;I;0;ACCROCHE;A0030_M1;1;UCKANGE;MZO57.2;2;QT, TT, VT, LC, VC;01/06/2019;1;DIRE
Obx54ySqFt_5839;01/01/2019;A0030;17251;57PR4D;250;4155;927451,64;6916251,79;0;57PR21D;360;21406;915462,8;6924916;0;I;0;ACCROCHE;A0030_M2;1;HAYANGE;MZO57.1;2;QT, TT, VT, LC, VC;01/01/2015;1;DIRE
Obx54ySqFt_5840;01/01/2019;A0030;4889;57PR21D;360;21406;915462,8;6924916;0;FRD;0;26295;911771,96;6927917,52;0;I;0;ACCROCHE;A0030_M3;1;A30 - AUMETZ;MZ557.5;2;QT, TT, VT, LC, VC;07/06/2010;0;DIRE
Obx54ySqFt_5841;01/01/2019;A0031;4146;54PR229D;0;228869;912368,53;6843072,16;0;54PR233D;600;233015;915102,29;6845762,03;0;I;0;ACCROCHE;A0031_M1;1;VALCOURT;MZE54.6;2;QT, TT, VT, LC, VC;01/01/2013;0;DIRE
Obx54ySqFt_5842;01/01/2019;A0031;15250;54PR233D;600;233015;915102,29;6845762,03;0;54PR249D;0;248265;929579,66;6848751,38;0;I;0;ACCROCHE;A0031_M2;1;A31 - LES BARAQUES;MZE54.8;2;QT, TT, VT, LC, VC;01/06/2019;0;DIRE
Obx54ySqFt_5843;01/01/2019;A0031;8344;54PR249D;0;248265;929579,66;6848751,38;0;54PR257D;450;256609;932052,54;6854730,82;0;I;0;ACCROCHE;A0031_M3;1;A31 - CHAMPIGNEULLES;MZE54.1;2;QT, TT, VT, LC, VC;01/06/2020;1;DIRE
Obx54ySqFt_5844;01/01/2019;A0031;8946;54PR257D;450;256609;932052,54;6854730,82;0;54PR266D;400;265555;928460,48;6861684,8;0;I;0;ACCROCHE;A0031_M4;1;A31 CUSTINES;MZE54.9;2;QT, TT, VT, LC, VC;01/10/2018;1;DIRE
Obx54ySqFt_5845;01/01/2019;A0031;8406;54PR266D;400;265555;928460,48;6861684,8;0;54PR274D;800;273961;927097,17;6869510,35;0;I;0;ACCROCHE;A0031_M5;1;A31 - AUTREVILLE;MZE54.7;2;QT, TT, VT, LC, VC;01/02/2018;1;DIRE
Obx54ySqFt_5846;01/01/2019;A0031;5748;54PR274D;800;273961;927097,17;6869510,35;0;54PR280D;550;279709;927954,17;6875146,36;0;I;0;ACCROCHE;A0031_M6;0;A31 – LESMENILS;;2;QT, TT, VT, LC, VC;01/06/2019;0;DIRE
Obx54ySqFt_5847;01/01/2019;A0031;11419;54PR280D;550;279709;927954,17;6875146,36;0;57PR291D;950;291128;927564,7;6886355,52;0;I;0;ACCROCHE;A0031_M7;1;A31 - FEY;MZ057.5 / MZo57.5;2;QT, TT, VT, LC, VC;01/06/2019;1;DIRE
Obx54ySqFt_5848;01/01/2019;A0031;5053;57PR291D;950;291128;927564,7;6886355,52;0;57PR297D;0;296181;926944,03;6891285,31;0;I;0;ACCROCHE;A0031_M8;1;A31 - AUGNY;MZ357.3;2;QT, TT, VT, LC, VC;24/02/2010;0;DIRE
Obx54ySqFt_5849;01/01/2019;A0031;5553;57PR297D;0;296181;926944,03;6891285,31;0;57PR302D;600;301734;930624,76;6894842,84;0;I;0;ACCROCHE;A0031_M9;1;A31 - METZ SUD;MZO57.4;2;QT, TT, VT, LC, VC;01/05/2018;1;DIRE
Obx54ySqFt_5850;01/01/2019;A0031;5570;57PR307D;750;306959;932220,94;6899307,49;0;57PR313D;300;312529;931388,27;6904806,75;0;I;0;ACCROCHE;A0031_M11;1;A31 - ST REMY;MZ057.6;2;QT, TT, VT, LC, VC;01/01/2011;1;DIRE
Obx54ySqFt_5851;01/01/2019;A0031;9693;57PR313D;300;312529;931388,27;6904806,75;0;57PR323D;0;322222;930904,29;6914329,09;0;I;0;ACCROCHE;A0031_M12;1;A31 - MAIZIERES LES METZ;MZo57.3;2;QT, TT, VT, LC, VC;01/01/2011;1;DIRE
Obx54ySqFt_5852;01/01/2019;A0031;5092;57PR323D;0;322222;930904,29;6914329,09;0;57PR328D;100;327314;931560,93;6919226,24;0;I;0;ACCROCHE;A0031_M13;1;A31 - GUENANGE;MZo57.8;2;QT, TT, VT, LC, VC;08/03/2011;1;DIRE
