"objetID";"dateReferentiel";"route";"longueur";"prD";"depPrD";"concessionPrD";"absD";"cumulD";"xD";"yD";"zD";"prF";"depPrF";"concessionPrF";"absF";"cumulF";"xF";"yF";"zF";"cote";"voie";"accrochage";"CodeMacroSection";"MacroSectionEquipee";"NomStationRef";"CodeSiredoStationRef";"TypeStationRef";"TypeStationRef_lib";"DateStationRef";"IndiceNational";"sectionnement_gestionnaire"
"Obx54ySqFt_5815";"2019-01-01";"A0020";"8795";"68";"36";"N";"155";"67993";"595968,58";"6630688,31";"0";"76";"36";"N";"950";"76788";"591764,2";"6623119,5";"0";"I";"0";"ACCROCHE";"A0020_M3";"1";"LA_LIENNE";"MDI36.5";"2";"QT, TT, VT, LC, VC";"2019-06-01";"0";"DIRCO"
"Obx54ySqFt_5816";"2019-01-01";"A0020";"43730";"76";"36";"N";"950";"76788";"591764,2";"6623119,5";"0";"120";"23";"N";"0";"120518";"578989,5";"6584728,67";"0";"I";"0";"ACCROCHE";"A0020_M4";"1";"CEI_ARGENTON";"MDI36.6";"2";"QT, TT, VT, LC, VC";"2018-12-14";"0";"DIRCO"
"Obx54ySqFt_5817";"2019-01-01";"A0020";"17284";"120";"23";"N";"0";"120518";"578989,5";"6584728,67";"0";"137";"87";"N";"410";"137802";"575272,42";"6568368,59";"0";"I";"0";"ACCROCHE";"A0020_M5";"1";"LA GARDE";"MBW87.5";"2";"QT, TT, VT, LC, VC";"2017-01-01";"0";"DIRCO"
"Obx54ySqFt_5818";"2019-01-01";"A0020";"31545";"137";"87";"N";"410";"137802";"575272,42";"6568368,59";"0";"170";"87";"N";"240";"169347";"568655,44";"6539052,81";"0";"I";"0";"ACCROCHE";"A0020_M6";"1";"TOIT DE CHAUME";"MBW87.5";"2";"QT, TT, VT, LC, VC";"2018-12-14";"1";"DIRCO"
"Obx54ySqFt_5819";"2019-01-01";"A0020";"5215";"170";"87";"N";"240";"169347";"568655,44";"6539052,81";"0";"175";"87";"N";"280";"174562";"567604,08";"6534102,78";"0";"I";"0";"ACCROCHE";"A0020_M7";"1";"AIRE DE BEAUNE";"MBW87.3";"2";"QT, TT, VT, LC, VC";"2014-01-01";"0";"DIRCO"
"Obx54ySqFt_5820";"2019-01-01";"A0020";"12516";"189";"87";"N";"630";"188227";"568229,58";"6521636,74";"0";"203";"87";"N";"50";"200743";"572896,38";"6511029,84";"0";"I";"0";"ACCROCHE";"A0020_M12";"1";"PIERRE BUFFIERE";"MbW87.6";"2";"QT, TT, VT, LC, VC";"2019-06-01";"0";"DIRCO"
"Obx54ySqFt_5821";"2019-01-01";"A0020";"40420";"203";"87";"N";"50";"200743";"572896,38";"6511029,84";"0";"243";"19";"N";"450";"241163";"587957,47";"6478371,49";"0";"I";"0";"ACCROCHE";"A0020_M13";"1";"LE MONCEAU";"MBW87.1";"2";"QT, TT, VT, LC, VC";"2014-01-01";"0";"DIRCO"
"Obx54ySqFt_5822";"2019-01-01";"A0020";"24683";"243";"19";"N";"450";"241163";"587957,47";"6478371,49";"0";"268";"19";"N";"0";"265846";"582810,05";"6456743,07";"0";"I";"0";"ACCROCHE";"A0020_M14";"1";"DONZENAC";"MBZ19.7";"2";"QT, TT, VT, LC, VC";"2019-06-01";"0";"DIRCO"
"Obx54ySqFt_5823";"2019-01-01";"A0020";"4004";"281";"19";"N";"300";"279174";"583568,25";"6445498,28";"0";"285";"19";"N";"369";"283178";"582434,71";"6441775,85";"0";"I";"0";"ACCROCHE";"A0020_M16";"1";"FONT TROUVE";"MBZ19.8";"2";"QT, TT, VT, LC, VC";"2019-06-01";"0";"DIRCO"
"Obx54ySqFt_5824";"2019-01-01";"A0021";"2877";"0";"62";"N";"0";"0";"679366,89";"7037473,03";"0";"3";"62";"N";"500";"2877";"682226,53";"7037798,05";"0";"I";"0";"ACCROCHE";"A0021_M1";"0";"";"";"";"";"2018-12-01";"0";"DIRN"
"Obx54ySqFt_5825";"2019-01-01";"A0022";"8383";"14";"59";"N";"55";"6881";"708011,47";"7064667,03";"0";"22";"59";"N";"440";"15264";"710203,59";"7072485,38";"0";"I";"0";"ACCROCHE";"A0022_M4";"1";"MOUVAUX";"ML159.K";"2";"QT, TT, VT, LC, VC";"2016-10-01";"0";"DIRN"
"Obx54ySqFt_5826";"2019-01-01";"A0022";"2544";"22";"59";"N";"440";"15264";"710203,59";"7072485,38";"0";"24";"59";"N";"983";"17808";"711918,59";"7074231,01";"0";"I";"0";"ACCROCHE";"A0022_M5";"1";"NEUV_FERRAIN";"ML159.L";"3";"QT, TT, VT, LC, VC, KC";"2016-01-01";"1";"DIRN"
"Obx54ySqFt_5827";"2019-01-01";"A0023";"16313";"0";"59";"N";"0";"0";"709756,4";"7055828,9";"0";"16";"59";"N";"417";"16313";"716199,46";"7041529,32";"0";"I";"0";"ACCROCHE";"A0023_M1";"1";"GENECH";"ML159.M";"3";"QT, TT, VT, LC, VC, KC";"2015-02-01";"1";"DIRN"
"Obx54ySqFt_5828";"2019-01-01";"A0023";"14340";"16";"59";"N";"417";"16313";"716199,46";"7041529,32";"0";"30";"59";"N";"673";"30653";"728985,54";"7035823,18";"0";"I";"0";"ACCROCHE";"A0023_M2";"1";"BEUVRY";"ML159.N";"2";"QT, TT, VT, LC, VC";"2010-01-01";"0";"DIRN"
"Obx54ySqFt_5829";"2019-01-01";"A0023";"6624";"30";"59";"N";"673";"30653";"728985,54";"7035823,18";"0";"37";"59";"N";"278";"37277";"733488,87";"7031253,92";"0";"I";"0";"ACCROCHE";"A0023_M3";"1";"PETITE-FORET";"";"2";"QT, TT, VT, LC, VC";"2017-01-01";"0";"DIRN"
"Obx54ySqFt_5830";"2019-01-01";"A0025";"6589";"9";"59";"N";"98";"8723";"697734,15";"7058443,13";"0";"15";"59";"N";"680";"15312";"692600,57";"7062508,59";"0";"I";"0";"ACCROCHE";"A0025_M6";"1";"ENNETIERES";"ML159.Q";"2";"QT, TT, VT, LC, VC";"1992-05-01";"1";"DIRN"
"Obx54ySqFt_5831";"2019-01-01";"A0025";"4719";"15";"59";"N";"680";"15312";"692600,57";"7062508,59";"0";"20";"59";"N";"394";"20031";"688762,54";"7065235,97";"0";"I";"0";"ACCROCHE";"A0025_M7";"1";"LA_CHAPELLE_59";"ML259.C";"2";"QT, TT, VT, LC, VC";"1997-01-01";"0";"DIRN"
"Obx54ySqFt_5832";"2019-01-01";"A0025";"11831";"20";"59";"N";"394";"20031";"688762,54";"7065235,97";"0";"32";"59";"N";"216";"31862";"678456,05";"7070835,25";"0";"I";"0";"ACCROCHE";"A0025_M8";"1";"STEENWERCK";"ML259.A";"2";"QT, TT, VT, LC, VC";"1997-01-01";"1";"DIRN"
"Obx54ySqFt_5833";"2019-01-01";"A0025";"30892";"32";"59";"N";"216";"31862";"678456,05";"7070835,25";"0";"62";"59";"N";"1068";"62754";"659972,28";"7094881,5";"0";"I";"0";"ACCROCHE";"A0025_M9";"1";"QUAEDYPRE";"ML159.P";"3";"QT, TT, VT, LC, VC, KC";"2015-03-01";"1";"DIRN"
"Obx54ySqFt_5834";"2019-01-01";"A0027";"10968";"0";"59";"N";"0";"0";"708621,84";"7055965,58";"0";"12";"59";"N";"1287";"10968";"719460,41";"7056343,71";"0";"I";"0";"ACCROCHE";"A0027_M1";"1";"ANSTAING";"ML159.R";"3";"QT, TT, VT, LC, VC, KC";"2015-02-01";"1";"DIRN"
